_01_category,_02_state,_03_branch_name,_04_address,_07_google_map_url,_08_bank_data_url,_09_bank_type,_11_mother_bank_name,
Local Bank,Selangor,Shah Alam,"No. F30 & F31 Vista Alam, Jalan Ikhtisas 14/1,
40000 Shah Alam
Selangor","https://www.google.com/maps/place/Homestay+Murah+Vista+Alam,+Shah+Alam/@3.0709846,101.5232737,17z/data=!4m10!1m2!2m1!1s%22No.+F30+%26+F31+Vista+Alam,+Jalan+Ikhtisas+14%2F1,+40000+Shah+Alam+Selangor%22!3m6!1s0x31cc4d4c78f8b419:0xce355405efbd0056!8m2!3d3.0709846!4d101.5254624!15sCkkiTm8uIEYzMCAmIEYzMSBWaXN0YSBBbGFtLCBKYWxhbiBJa2h0aXNhcyAxNC8xLCA0MDAwMCBTaGFoIEFsYW0gU2VsYW5nb3IikgEScHJpdmF0ZV9ndWVzdF9yb29t4AEA!16s%2Fg%2F11h5s2ydyk?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Selangor,"USJ, Subang Jaya","No. 22 & 24, Jalan USJ 9/5Q, UEP,
47600 Subang Jaya,
Selangor","https://www.google.com/maps/place/United+Estate+Projects,+22+%26+24,+Jalan+USJ+9%2F5q,+Subang+Business+Centre,+47600+Subang+Jaya,+Selangor,+Malaysia/@3.0464401,101.5875708,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4cc679b9a517:0xe7c00e158df8e556!8m2!3d3.0464401!4d101.5875708!16s%2Fg%2F11q2n75z2_?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Selangor,Sungai Besar,"No. A12 & A13, Jalan Menteri,
45300 Sungai Besar,
Selangor","https://www.google.com/maps/place/Jalan+Menteri,+45300+Sungai+Besar,+Selangor,+Malaysia/@3.6752541,100.985578,17z/data=!3m1!4b1!4m6!3m5!1s0x31cb6001fb6da4e5:0x8f1eb48c788ccbfd!8m2!3d3.6752541!4d100.985578!16s%2Fg%2F1hc1dn2x8?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Selangor,Tanjung Karang,"No. 1 & 3, Jalan Makmur 1, Taman Makmur, Batu 7,
45500 Tanjung Karang,
Selangor","https://www.google.com/maps/place/1,+Jln+Makmur+1,+Taman+Makmur,+45500+Tanjong+Karang,+Selangor,+Malaysia/@3.4198661,101.1864685,17z/data=!3m1!4b1!4m10!1m2!2m1!1s%22No.+1+%26+3,+Jalan+Makmur+1,+Taman+Makmur,+Batu+7,+45500+Tanjung+Karang,+Selangor%22!3m6!1s0x31cc8dc23af3bceb:0xb69b8939408efbb5!8m2!3d3.4198661!4d101.1864685!15sClEiTm8uIDEgJiAzLCBKYWxhbiBNYWttdXIgMSwgVGFtYW4gTWFrbXVyLCBCYXR1IDcsIDQ1NTAwIFRhbmp1bmcgS2FyYW5nLCBTZWxhbmdvciKSARFjb21wb3VuZF9idWlsZGluZ-ABAA!16s%2Fg%2F11tf3bfpsj?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Selangor,Port Klang,"No. 2 & 4, Harbour Point, Commercial Centre, Jalan Sungai Aur,
42000 Port Klang,
Selangor","https://www.google.com/maps/place/Jalan+Sungai+Aur,+42000+Pelabuhan+Klang,+Selangor,+Malaysia/@2.9994,101.3968244,17z/data=!3m1!4b1!4m10!1m2!2m1!1s%22No.+2+%26+4,+Harbour+Point,+Commercial+Centre,+Jalan+Sungai+Aur,+42000+Port+Klang,+Selangor%22!3m6!1s0x31cdab0708118165:0x7f91296d25003f93!8m2!3d2.9994!4d101.3968244!15sClsiTm8uIDIgJiA0LCBIYXJib3VyIFBvaW50LCBDb21tZXJjaWFsIENlbnRyZSwgSmFsYW4gU3VuZ2FpIEF1ciwgNDIwMDAgUG9ydCBLbGFuZywgU2VsYW5nb3IikgEFcm91dGXgAQA!16s%2Fg%2F1q5bm0w_c?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Selangor,Sungai Buloh,"Lot. 101, TSB Commercial Centre, Jalan Nautika B, U20/B, Seksyen U20, Sungai Buloh,
40160 Shah Alam,
Selangor","https://www.google.com/maps/place/TSB+Commercial+Center/@3.2089342,101.570903,18z/data=!4m10!1m2!2m1!1s%22Lot.+101,+TSB+Commercial+Centre,+Jalan+Nautika+B,+U20%2FB,+Seksyen+U20,+Sungai+Buloh,+40160+Shah+Alam,+Selangor%22!3m6!1s0x31cc4515010fa2f7:0xcd64960d304da330!8m2!3d3.2086769!4d101.5711905!15sCm8iTG90LiAxMDEsIFRTQiBDb21tZXJjaWFsIENlbnRyZSwgSmFsYW4gTmF1dGlrYSBCLCBVMjAvQiwgU2Vrc3llbiBVMjAsIFN1bmdhaSBCdWxvaCwgNDAxNjAgU2hhaCBBbGFtLCBTZWxhbmdvciKSAQVzdG9yZeABAA!16s%2Fg%2F11t4f8mq9_?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Selangor,PJ State,"No. 11 & 13, Jalan Yong Shook Lin Seksyen 52,
46200 Petaling Jaya,
Selangor","https://www.google.com/maps/place/11,+Jalan+Yong+Shook+Lin,+Pj+New+Town,+46200+Petaling+Jaya,+Selangor,+Malaysia/@3.0979174,101.6453112,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4bc41fd25833:0x981952520b48b8a8!8m2!3d3.0979174!4d101.6453112?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Selangor,Bandar Baru Bangi,"No. 37 & 39 Jalan Medan Pusat 2D Seksyen 9,
43650 Bandar Baru Bangi,
Selangor","https://www.google.com/maps/place/37,+Jln+Medan+Pusat+2d,+Seksyen+9,+43650+Bandar+Baru+Bangi,+Selangor,+Malaysia/@2.9636741,101.7533074,17z/data=!3m1!4b1!4m6!3m5!1s0x31cdcbd2a4dda8b7:0x2b7ae91452b55c80!8m2!3d2.9636741!4d101.7533074!16s%2Fg%2F11c25714qt?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Selangor,Serdang Raya,"No. C1-00-28, Section 9, Jalan SR 1/9, Taman Serdang Raya,
43300 Seri Kembangan,
Selangor","https://www.google.com/maps/place/9,+Jalan+SR+1%2F9,+Taman+Serdang+Raya,+43300+Seri+Kembangan,+Selangor,+Malaysia/@3.0304587,101.7057064,17z/data=!3m1!4b1!4m10!1m2!2m1!1s%22No.+C1-00-28,+Section+9,+Jalan+SR+1%2F9,+Taman+Serdang+Raya,+43300+Seri+Kembangan,+Selangor%22!3m6!1s0x31cdb55599907543:0x66a6abf7836139e8!8m2!3d3.0304587!4d101.7057064!15sClsiTm8uIEMxLTAwLTI4LCBTZWN0aW9uIDksIEphbGFuIFNSIDEvOSwgVGFtYW4gU2VyZGFuZyBSYXlhLCA0MzMwMCBTZXJpIEtlbWJhbmdhbiwgU2VsYW5nb3IikgEQZ2VvY29kZWRfYWRkcmVzc-ABAA!16s%2Fg%2F11cs8q7882?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Selangor,Rawang,"No.73, Jalan Bandar Rawang 2 Rawang City Centre
48000 Rawang,
Selangor","https://www.google.com/maps/place/Rawang+Sentral/@3.3040865,101.5508054,13z/data=!4m10!1m2!2m1!1s%22No.73,+Jalan+Bandar+Rawang+2+Rawang+City+Centre+48000+Rawang,+Selangor%22!3m6!1s0x31cc425c9a342ca9:0xea26837ac372d10!8m2!3d3.3259652!4d101.5800924!15sCkgiTm8uNzMsIEphbGFuIEJhbmRhciBSYXdhbmcgMiBSYXdhbmcgQ2l0eSBDZW50cmUgNDgwMDAgUmF3YW5nLCBTZWxhbmdvciKSARBob21lX2dvb2RzX3N0b3Jl4AEA!16s%2Fg%2F11h9qgl7gw?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
